date,city,aqi
2026-03-31,Delhi,248
2026-03-31,Mumbai,88
2026-03-31,Kolkata,149
2026-03-31,Bangalore,56
2026-03-31,Jalandhar,171
2026-03-31,Chennai,64
2026-04-01,Delhi,262
2026-04-01,Mumbai,94
2026-04-01,Kolkata,157
2026-04-01,Bangalore,60
2026-04-01,Jalandhar,182
2026-04-01,Chennai,70
2026-04-02,Delhi,278
2026-04-02,Mumbai,102
2026-04-02,Kolkata,172
2026-04-02,Bangalore,68
2026-04-02,Jalandhar,194
2026-04-02,Chennai,78
2026-04-03,Delhi,291
2026-04-03,Mumbai,109
2026-04-03,Kolkata,176
2026-04-03,Bangalore,71
2026-04-03,Jalandhar,201
2026-04-03,Chennai,82
2026-04-04,Delhi,284
2026-04-04,Mumbai,101
2026-04-04,Kolkata,169
2026-04-04,Bangalore,66
2026-04-04,Jalandhar,192
2026-04-04,Chennai,79
2026-04-05,Delhi,272
2026-04-05,Mumbai,96
2026-04-05,Kolkata,161
2026-04-05,Bangalore,61
2026-04-05,Jalandhar,188
2026-04-05,Chennai,76
2026-04-06,Delhi,278
2026-04-06,Mumbai,98
2026-04-06,Kolkata,165
2026-04-06,Bangalore,62
2026-04-06,Jalandhar,185
2026-04-06,Chennai,74
